"","x","y","Tile_ID","Eco_Name","WSR","BAF"
"195",28.375,-29.375,2056,"AT8",849.694458,0.019923996
"196",29.375,-29.375,2057,"AT8",1207.893677,0.112392791
"197",29.625,-29.375,2058,"AT8",1071.624756,0.257299453
"198",26.875,-29.625,2059,"AT8",614.2649536,0.010286929
"199",28.125,-29.625,2060,"AT8",864.3217773,0.005228013
"200",28.375,-29.625,2061,"AT8",802.2698364,0.003944266
"201",29.375,-29.625,2062,"AT8",1223.778564,0.209209546
"202",29.625,-29.625,2063,"AT8",1058.396851,0.238700703
"203",27.625,-29.875,2064,"AT8",748.3123779,0.004801461
"204",27.875,-29.875,2065,"AT8",783.5476074,0.010039954
"205",29.125,-29.875,2066,"AT8",1003.642334,0.214504734
"206",29.375,-29.875,2067,"AT8",1145.767212,0.205444634
"207",27.125,-30.125,2068,"AT8",650.2695313,0.013251474
"208",27.625,-30.125,2069,"AT8",764.6635742,0.00763332
"209",28.375,-30.125,2070,"AT8",837.8847656,0.174639583
"210",28.875,-30.125,2071,"AT8",822.6899414,0.21385549
"211",29.125,-30.125,2072,"AT8",919.9841309,0.17655094
"212",29.375,-30.125,2073,"AT8",948.112793,0.313897461
"213",27.125,-30.375,2074,"AT8",685.2815552,0.018841529
"214",27.875,-30.375,2075,"AT8",835.1744995,0.016356375
"215",28.125,-30.375,2076,"AT8",897.9673462,0.118373089
"216",28.375,-30.375,2077,"AT8",887.2269287,0.406568229
"217",28.625,-30.375,2078,"AT8",836.7259521,0.075346619
"218",28.875,-30.375,2079,"AT8",896.7471924,0.088854045
"219",29.125,-30.375,2080,"AT8",914.7675781,0.09536992
"220",27.125,-30.625,2081,"AT8",754.0393677,0.016731571
"221",27.375,-30.625,2082,"AT8",859.6891479,0.035299603
"222",27.625,-30.625,2083,"AT8",841.7400513,0.033827566
"223",27.875,-30.625,2084,"AT8",903.7296143,0.060321763
"224",28.125,-30.625,2085,"AT8",922.5689697,0.193685025
"225",28.375,-30.625,2086,"AT8",923.9082031,0.220981136
"226",28.625,-30.625,2087,"AT8",920.4877319,0.093450345
"227",28.875,-30.625,2088,"AT8",913.468689,0.058543634
"228",29.125,-30.625,2089,"AT8",917.7266235,0.047758013
"229",29.375,-30.625,2090,"AT8",910.1068115,0.100824453
"230",26.875,-30.875,2091,"AT8",743.3217773,0.011585125
"231",27.125,-30.875,2092,"AT8",780.4110107,0.050364386
"232",27.375,-30.875,2093,"AT8",826.8201294,0.063024871
"233",27.625,-30.875,2094,"AT8",814.616394,0.055784199
"234",27.875,-30.875,2095,"AT8",869.8710327,0.096793994
"235",28.125,-30.875,2096,"AT8",892.8314209,0.214655951
"236",28.375,-30.875,2097,"AT8",944.3087769,0.205942154
"237",28.625,-30.875,2098,"AT8",970.7802124,0.170555651
"238",29.125,-30.875,2099,"AT8",965.5749512,0.029464129
"239",26.625,-31.125,2100,"AT8",702.9129028,0.027624516
"240",26.875,-31.125,2101,"AT8",726.5234375,0.069344275
"241",27.125,-31.125,2102,"AT8",738.7805786,0.162943989
"242",27.375,-31.125,2103,"AT8",811.1350708,0.097427793
"243",27.625,-31.125,2104,"AT8",880.9431763,0.092201553
"244",27.875,-31.125,2105,"AT8",905.9958496,0.134899825
"245",28.375,-31.125,2106,"AT8",947.0025635,0.146726042
"246",28.625,-31.125,2107,"AT8",929.5252075,0.134529233
"247",28.875,-31.125,2108,"AT8",906.9598389,0.033385944
"248",26.375,-31.375,2109,"AT8",762.0813599,0.020369001
"249",26.625,-31.375,2110,"AT8",754.7435303,0.035737135
"250",26.875,-31.375,2111,"AT8",746.1640015,0.222654402
"251",27.125,-31.375,2112,"AT8",750.3861084,0.056616414
"252",27.375,-31.375,2113,"AT8",855.5163574,0.234880477
"253",27.625,-31.375,2114,"AT8",802.3692017,0.125407651
"254",27.875,-31.375,2115,"AT8",885.3860474,0.170017913
"255",28.125,-31.375,2116,"AT8",894.9971924,0.077844121
"256",26.125,-31.625,2117,"AT8",547.0045776,0.012504418
"257",26.375,-31.625,2118,"AT8",655.7652588,0.015005786
"258",26.625,-31.625,2119,"AT8",674.1794434,0.026008686
"259",26.875,-31.625,2120,"AT8",760.1178589,0.073686332
"260",27.125,-31.625,2121,"AT8",746.2652588,0.042569306
"261",27.375,-31.625,2122,"AT8",773.1193848,0.158890769
"262",27.625,-31.625,2123,"AT8",817.4845581,0.086251006
"263",27.875,-31.625,2124,"AT8",909.0283203,0.113996893
"264",26.125,-31.875,2125,"AT8",482.0863342,0.007497955
"265",26.375,-31.875,2126,"AT8",584.5860596,0.013833126
"266",26.625,-31.875,2127,"AT8",636.0318604,0.008555389
"267",26.875,-31.875,2128,"AT8",683.6630859,0.024261346
"268",27.125,-31.875,2129,"AT8",680.5245972,0.014289748
"269",27.375,-31.875,2130,"AT8",728.9678345,0.084056206
"270",26.125,-32.125,2131,"AT8",524.34729,0.008743105
"271",26.375,-32.125,2132,"AT8",610.081604,0.016722383
"272",26.625,-32.125,2133,"AT8",693.0583496,0.014560387
"273",26.875,-32.125,2134,"AT8",694.6722412,0.021000274
"274",27.125,-32.125,2135,"AT8",693.7130737,0.022078037
"275",27.375,-32.125,2136,"AT8",736.0757446,0.061841954
"276",27.625,-32.125,2137,"AT8",807.9205933,0.023704777
"277",26.375,-32.375,2138,"AT8",731.5618286,0.031394761
"278",26.625,-32.375,2139,"AT8",809.0821533,0.049104355
"279",26.875,-32.375,2140,"AT8",841.3228149,0.078215741
"280",27.125,-32.375,2141,"AT8",803.5829468,0.026755948
"281",27.375,-32.375,2142,"AT8",835.8181152,0.031172473
